model,metric,metric_display,mean,std,median,min,max,mean_sd
U-Net,mean_dice_no_bg,Mean Dice (C1-C4),0.7230557495239941,0.012009159618530243,0.7286175534419901,0.7067576587939481,0.7345574448913874,0.7231 ± 0.0120
U-Net,minority_dice_c2_c3_c4,Minority Dice (C2-C4),0.6819359022899475,0.015563412669904594,0.6869881998361679,0.6627500989740693,0.6962520186086962,0.6819 ± 0.0156
U-Net,mean_iou_no_bg,Mean IoU (C1-C4),0.5759975999543789,0.013729882576502143,0.5843895317058598,0.5568223029452904,0.5878402816737212,0.5760 ± 0.0137
U-Net,macro_precision_no_bg,Macro Precision (C1-C4),0.6692942853380439,0.013637220705930061,0.6696591999355077,0.6507698301255165,0.6891675086101825,0.6693 ± 0.0136
U-Net,macro_recall_no_bg,Macro Recall (C1-C4),0.7929139371562854,0.0237009748899738,0.8013878193367331,0.7580309050457527,0.8202608455498588,0.7929 ± 0.0237
U-Net,weighted_kappa_fg,Weighted Kappa,0.9732367295153009,0.0022958080628867274,0.9729276066874254,0.9705285848711548,0.9769000653808364,0.9732 ± 0.0023
U-Net,ordinal_mae_fg,Ordinal MAE,0.04980175299063623,0.004497369494300389,0.04831047045173489,0.04475169268681042,0.056486382617289055,0.0498 ± 0.0045
U-Net,adjacent_error_rate_fg,Adjacent Error Rate,0.04892252022020885,0.004419200945841205,0.04748184201193937,0.04382140367436212,0.055736320448519415,0.0489 ± 0.0044
U-Net,distant_error_rate_fg,Distant Error Rate,0.0003371050012320912,0.00019102137357561414,0.00035814130650906853,7.67317882524034e-05,0.000606196331992832,0.0003 ± 0.0002
U-Net,dice_c1,Dice C1,0.8464152912261342,0.007142695083094553,0.8494737237394612,0.8387165899786309,0.8535056142594569,0.8464 ± 0.0071
U-Net,dice_c2,Dice C2,0.56850430799491,0.025837389752392668,0.5571099997889698,0.5414966803857199,0.605593214937685,0.5685 ± 0.0258
U-Net,dice_c3,Dice C3,0.7161364677478076,0.014767265265655478,0.7202845277512641,0.6950829626705829,0.7334747629970179,0.7161 ± 0.0148
U-Net,dice_c4,Dice C4,0.7611669311271244,0.01945145165800005,0.7552105278838095,0.7382874941231564,0.7835700719682694,0.7612 ± 0.0195
U-Net,iou_c1,IoU C1,0.7337792613678964,0.010718020571394588,0.7383349179129015,0.7222324737793313,0.7444481411116209,0.7338 ± 0.0107
U-Net,iou_c2,IoU C2,0.3975072938025681,0.025433449173672497,0.38610704884467256,0.37126873357334944,0.4343016840029372,0.3975 ± 0.0254
U-Net,iou_c3,IoU C3,0.5579622717274637,0.017856576065541786,0.5628474011379803,0.5326644857768946,0.5791236854724363,0.5580 ± 0.0179
U-Net,iou_c4,IoU C4,0.6147415729195872,0.02540128415749544,0.6066973932547182,0.5851471636243107,0.6441555357291654,0.6147 ± 0.0254
ResUNet-DS,mean_dice_no_bg,Mean Dice (C1-C4),0.7366288623203957,0.008339431003281036,0.7366171817456266,0.7249880248442069,0.7463260278359974,0.7366 ± 0.0083
