model,fold,metrics_path,epoch,train_loss,selection_score,dice_c0,iou_c0,precision_c0,recall_c0,dice_c1,iou_c1,precision_c1,recall_c1,dice_c2,iou_c2,precision_c2,recall_c2,dice_c3,iou_c3,precision_c3,recall_c3,dice_c4,iou_c4,precision_c4,recall_c4,mean_dice_no_bg,mean_iou_no_bg,macro_precision_no_bg,macro_recall_no_bg,minority_dice_c2_c3_c4,val_loss,epoch_seconds,ordinal_mae_fg,adjacent_error_rate_fg,distant_error_rate_fg,exact_rate_fg,weighted_kappa_fg,train_ce,train_dice,train_focal_tversky,train_ordinal,train_aux,lambda_ft,lambda_ord,amc_p
U-Net,0,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/unet_baseline/unet_baseline_fullval_fold0_aug-full_base32_crop320/best_metrics.json,104,1.0037391118027947,0.6865740259833724,0.9478995733556017,0.9009592139211103,0.970853947673997,0.926005571120411,0.8516001898995373,0.7415537536748973,0.8164176230226163,0.8899516187017134,0.5544198660903362,0.38352759081634047,0.44388082837487236,0.7382703169045505,0.6950829626705829,0.5326644857768946,0.6340646040419587,0.7690958749483228,0.7552105278838095,0.6066973932547182,0.7087162650626186,0.8082334667923455,0.7140783866360665,0.5661108058807126,0.6507698301255165,0.8013878193367331,0.6682377855482429,0.9637448381293904,4.456423044204712,0.056486382617289055,0.055736320448519415,0.0002728966771196321,0.943990782874361,0.9705285848711548,,,,,,,,
U-Net,1,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/unet_baseline/unet_baseline_fullval_fold1_aug-full_base32_crop320/best_metrics.json,112,1.0030306767333637,0.7097779266321678,0.9467080142981897,0.8988087132053861,0.9550174714239157,0.938541908459919,0.8387165899786309,0.7222324737793313,0.8401658381863055,0.8372723329371072,0.5839017787718395,0.4123314117755407,0.5393728297148421,0.6364446788207256,0.7233739629068413,0.5666294920272372,0.6476085125639348,0.8192162624585513,0.7790784837690014,0.6381069326831321,0.7295228539756479,0.835857286553247,0.7312677038565782,0.5848250775663104,0.6891675086101825,0.7821976401924078,0.6954514084825608,1.0069715204564007,3.4685847759246826,0.0517896918370408,0.050119847383114,0.000606196331992832,0.9492739562848932,0.9729276066874254,,,,,,,,
U-Net,2,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/unet_baseline/unet_baseline_fullval_fold2_aug-full_base32_crop320/best_metrics.json,118,1.00606558336453,0.7115741891217727,0.9495635475052937,0.9039704831740684,0.9760826740399596,0.9244472991058119,0.8494737237394612,0.7383349179129015,0.7966269262561925,0.9098302244164506,0.605593214937685,0.4343016840029372,0.5150618737125576,0.7347362607014231,0.7334747629970179,0.5791236854724363,0.6658503373448696,0.8163879377835374,0.7496880778913857,0.5996008393066098,0.6904187869336481,0.8200889592980245,0.7345574448913874,0.5878402816737212,0.666989481061817,0.8202608455498588,0.6962520186086962,0.9182808128270236,4.167156934738159,0.04767052736030596,0.04745318758310937,7.67317882524034e-05,0.9524700806286382,0.9728027844041481,,,,,,,,
U-Net,3,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/unet_baseline/unet_baseline_fullval_fold3_aug-full_base32_crop320/best_metrics.json,104,1.0041489276019009,0.7036399412784968,0.9518141483541751,0.9080585726850537,0.9736763419214904,0.9309121496774365,0.8535056142594569,0.7444481411116209,0.8073984739256829,0.9051976556579169,0.5571099997889698,0.38610704884467256,0.4715400689396229,0.6806217937149786,0.7202845277512641,0.5628474011379803,0.675199989478542,0.7718206316453836,0.7835700719682694,0.6441555357291654,0.7244982673981835,0.8531298216084204,0.7286175534419901,0.5843895317058598,0.6696591999355077,0.8026924756566749,0.6869881998361679,0.9135696725411848,3.895808696746826,0.04475169268681042,0.04382140367436212,0.00035814130650906853,0.9558204550191288,0.9769000653808364,,,,,,,,
U-Net,4,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/unet_baseline/unet_baseline_fullval_fold4_aug-full_base32_crop320/best_metrics.json,101,0.9810003807598894,0.6803531229020209,0.9490269720241997,0.9029984088669232,0.9582499263075062,0.9399798632605314,0.8387803382535847,0.7223270203607315,0.8367733769310787,0.8407969499253931,0.5414966803857199,0.37126873357334944,0.49448312566180574,0.598389227878402,0.7084661224133318,0.5485462942227702,0.600371807381565,0.8640311470499862,0.7382874941231564,0.5851471636243107,0.7479133178543341,0.7289062953292295,0.7067576587939481,0.5568223029452904,0.6698854069571959,0.7580309050457527,0.6627500989740693,0.9742373891852119,4.2693281173706055,0.04831047045173489,0.04748184201193937,0.00037155890228651967,0.9521465990857741,0.9730246062329397,,,,,,,,
ResUNet-DS,0,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/resunetds_baseline/resunetds_baseline_fullval_fold0_aug-full_base32_crop320/best_metrics.json,92,1.0446186858144673,0.7138855819350522,0.9500467213297394,0.9048466637800778,0.9747953939003193,0.926523601117582,0.8502751807984985,0.7395466868228744,0.794297456395723,0.9147411129344012,0.6238069297639123,0.45328445786818083,0.5736911237222533,0.6835167480914156,0.7118191334836599,0.5525770114942402,0.6364038315920848,0.8075110273491426,0.760567482936436,0.6136417049460309,0.7376592356687582,0.7849441795001076,0.7366171817456266,0.5897624652828315,0.6855129118447048,0.7976782669687668,0.6987311820613359,0.9460891891609539,7.543810844421387,0.051231085685156684,0.0505042821670294,0.0002672247455689876,0.9492284930874016,0.972761724463079,,,,,,,,
ResUNet-DS,1,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/resunetds_baseline/resunetds_baseline_fullval_fold1_aug-full_base32_crop320/best_metrics.json,74,1.0657057037407702,0.7254891308933417,0.9475501601547193,0.9003280957256998,0.9752434736658038,0.921386194500904,0.8505105125492763,0.739902819325032,0.793763544528799,0.9159960041855222,0.6038597657683759,0.43252085353783565,0.5149756656507514,0.7298268963554179,0.7471619490896875,0.5963755239927454,0.7012807315596498,0.7994669923228831,0.7837718839366503,0.6444283548332522,0.7397254074247487,0.8333959106858555,0.7463260278359974,0.6033068879222163,0.6874363372909872,0.8196714508874197,0.7115978662649045,0.9553190483288332,7.1532886028289795,0.05036975002858494,0.04956628151682494,0.0003167520094438453,0.9501169664737312,0.9729857803408628,,,,,,,,
ResUNet-DS,2,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/resunetds_baseline/resunetds_baseline_fullval_fold2_aug-full_base32_crop320/best_metrics.json,92,1.0493619523265145,0.7198427872238488,0.952355697951288,0.9090448886983082,0.9795650834754729,0.9266170502803165,0.8554272384823101,0.7473768966404755,0.7940070901603283,0.9271463271878757,0.6027970411465418,0.43143126582067626,0.5183263764658907,0.7201601767467152,0.7578069447316649,0.6100556926459113,0.6895595259883871,0.8410475049598699,0.7537295587071858,0.6047881212085132,0.7585247257154377,0.7489946380696594,0.7424401957669257,0.598412994078894,0.690104429582511,0.8093371617410301,0.7047778481951309,0.8993595486337488,7.4087982177734375,0.04739197242879888,0.047184711959564356,9.092461198219624e-05,0.9527243634284535,0.9721619185963475,,,,,,,,
ResUNet-DS,3,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/resunetds_baseline/resunetds_baseline_fullval_fold3_aug-full_base32_crop320/best_metrics.json,96,1.0465582439845258,0.7086709593415421,0.9513574200305746,0.907227532242981,0.9792489462998731,0.9250107373234576,0.8532824917476204,0.7441087151865677,0.7874282968796905,0.9311570043337467,0.557114989555801,0.38611184226266965,0.4656531726517952,0.6932879619842495,0.7264801542440772,0.5704505953834278,0.7076682383044591,0.7463195360566794,0.7942138900893888,0.6586689658817404,0.74724356331744,0.8474852190470972,0.7327728814092218,0.5898350296786015,0.6769983177883462,0.8045624303554432,0.6926030112964224,0.9137837046926672,7.521166563034058,0.04379034955055995,0.04359807363815005,9.594215588681489e-05,0.9563059842059631,0.9775196181900567,,,,,,,,
ResUNet-DS,4,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/resunetds_baseline/resunetds_baseline_fullval_fold4_aug-full_base32_crop320/best_metrics.json,115,1.0530313991687514,0.6992613962887982,0.9524490159249401,0.9092149503023089,0.9749934093720136,0.9309236308291486,0.8536211676212498,0.744623979012222,0.8018470096065622,0.9125428005310475,0.5640287688904594,0.3927855632975654,0.4890150592133881,0.6662262384553143,0.732203711914855,0.5775405077268063,0.6985104390125783,0.7693121693121436,0.7500984509502631,0.6001260271423303,0.6888175874103475,0.8233478387002713,0.7249880248442069,0.578769019294731,0.669547523810719,0.7928572617496941,0.6821103105851926,0.9236536540768363,7.294988632202148,0.04824493878811131,0.04720553004551079,0.0004630908073420054,0.9523313791471472,0.972043508072731,,,,,,,,
